task_id,task_title,category,system,success,similarity_score,steps,tokens,error_type,reasoning
1,Logic Puzzle: Bridge Crossing,reasoning,A,False,0.716,1,657,none,
1,Logic Puzzle: Bridge Crossing,reasoning,B,False,0.788,1,715,none,
1,Logic Puzzle: Bridge Crossing,reasoning,C,True,0.813,1,794,none,
2,Mathematical Sequence,reasoning,A,False,0.596,3,375,none,
2,Mathematical Sequence,reasoning,B,False,0.647,2,482,none,
2,Mathematical Sequence,reasoning,C,False,0.7,1,606,none,
3,Logical Deduction,reasoning,A,False,0.761,7,67,none,
3,Logical Deduction,reasoning,B,True,0.904,5,88,none,
3,Logical Deduction,reasoning,C,True,0.939,5,126,none,
4,Probability Problem,reasoning,A,True,0.897,6,442,none,
4,Probability Problem,reasoning,B,True,0.966,6,538,none,
4,Probability Problem,reasoning,C,True,1.0,5,672,none,
5,Cryptarithmetic Puzzle,reasoning,A,False,0.748,5,696,none,
5,Cryptarithmetic Puzzle,reasoning,B,True,0.806,5,801,none,
5,Cryptarithmetic Puzzle,reasoning,C,True,0.854,4,867,none,
6,Project Schedule Planning,planning,A,True,0.845,8,538,none,
6,Project Schedule Planning,planning,B,True,0.949,6,663,none,
6,Project Schedule Planning,planning,C,True,0.983,5,680,none,
7,Resource Allocation,planning,A,False,0.767,2,347,none,
7,Resource Allocation,planning,B,True,0.923,1,453,none,
7,Resource Allocation,planning,C,True,0.964,1,559,none,
8,Event Schedule Optimization,planning,A,True,0.84,2,740,none,
8,Event Schedule Optimization,planning,B,True,0.984,2,760,none,
8,Event Schedule Optimization,planning,C,True,1.0,1,778,none,
9,Inventory Planning,planning,A,False,0.62,6,300,none,
9,Inventory Planning,planning,B,False,0.761,4,281,none,
9,Inventory Planning,planning,C,True,0.808,4,362,none,
10,Meeting Schedule Coordination,planning,A,False,0.7,7,676,none,
10,Meeting Schedule Coordination,planning,B,True,0.804,6,786,none,
10,Meeting Schedule Coordination,planning,C,True,0.83,5,829,none,
11,Remove Duplicates from List,coding,A,False,0.566,8,524,none,
11,Remove Duplicates from List,coding,B,False,0.732,6,622,none,
11,Remove Duplicates from List,coding,C,False,0.782,5,677,none,
12,Merge Sorted Arrays,coding,A,False,0.723,6,732,none,
12,Merge Sorted Arrays,coding,B,True,0.82,5,836,none,
12,Merge Sorted Arrays,coding,C,True,0.885,5,857,none,
13,Find Peak Element,coding,A,False,0.559,3,676,none,
13,Find Peak Element,coding,B,False,0.615,3,751,none,
13,Find Peak Element,coding,C,False,0.671,3,766,none,
14,Reverse a String,coding,A,False,0.589,6,111,none,
14,Reverse a String,coding,B,False,0.703,6,87,none,
14,Reverse a String,coding,C,False,0.743,5,135,none,
15,Check Palindrome,coding,A,False,0.619,2,270,none,
15,Check Palindrome,coding,B,False,0.739,2,283,none,
15,Check Palindrome,coding,C,False,0.778,2,433,none,
16,Executive Summary,summarization,A,False,0.757,4,485,none,
16,Executive Summary,summarization,B,True,0.851,3,538,none,
16,Executive Summary,summarization,C,True,0.9,3,661,none,
17,Key Insights Extraction,summarization,A,False,0.619,4,778,none,
17,Key Insights Extraction,summarization,B,False,0.725,2,861,none,
17,Key Insights Extraction,summarization,C,True,0.805,2,960,none,
18,Technical Documentation Summary,summarization,A,True,0.899,7,657,none,
18,Technical Documentation Summary,summarization,B,True,0.962,7,684,none,
18,Technical Documentation Summary,summarization,C,True,1.0,7,826,none,
19,Comparative Analysis Summary,summarization,A,False,0.59,6,546,none,
19,Comparative Analysis Summary,summarization,B,False,0.645,4,603,none,
19,Comparative Analysis Summary,summarization,C,False,0.681,4,714,none,
20,Extract Structured Data,information_extraction,A,False,0.556,3,582,none,
20,Extract Structured Data,information_extraction,B,False,0.629,1,593,none,
20,Extract Structured Data,information_extraction,C,False,0.692,1,729,none,
21,Product Information Extraction,information_extraction,A,False,0.698,1,540,none,
21,Product Information Extraction,information_extraction,B,True,0.858,1,545,none,
21,Product Information Extraction,information_extraction,C,True,0.933,1,683,none,
22,Event Details Extraction,information_extraction,A,False,0.632,3,506,none,
22,Event Details Extraction,information_extraction,B,False,0.776,1,685,none,
22,Event Details Extraction,information_extraction,C,False,0.799,1,667,none,
23,Medical Record Extraction,information_extraction,A,False,0.576,6,661,none,
23,Medical Record Extraction,information_extraction,B,False,0.729,6,836,none,
23,Medical Record Extraction,information_extraction,C,False,0.769,6,851,none,
24,Financial Statement Extraction,information_extraction,A,False,0.597,3,276,none,
24,Financial Statement Extraction,information_extraction,B,False,0.764,2,327,none,
24,Financial Statement Extraction,information_extraction,C,False,0.794,1,336,none,
25,Recipe Extraction,information_extraction,A,False,0.599,2,450,none,
25,Recipe Extraction,information_extraction,B,False,0.722,2,552,none,
25,Recipe Extraction,information_extraction,C,False,0.768,1,569,none,
